id,name,category,brand,img-url,price,desc,net-weight,can-weight,count
2016901a-6225-46af-a766-701e937a7fcd,Sour Cherry Wyld 2 x 4g Soft Chews,EDIBLES- Soft Chews,Wyld,https://res.cloudinary.com/get-greenline/image/upload/v1682522582/iutrhamhao6xwdcwnloy.jpg,5,"Wyld Sour Cherry Indica Enhanced THC Soft Chews are sustainably made using real fruit, botanical terpenes and natural flavours. Each Soft Chew contains 5mg THC, for a total of 10mg THC per pack. All Wyld Soft Chews are packaged in an all-new compostable pouch, and our recipes are formulated by food scientists to provide consistent experiences that taste amazing. Wyld Soft Chews use sunflower lecithin to improve bioavailability and onset time and are made to be thermostable up to 60 degree celcius, with a firm texture that doesn't stick to your teeth. Each Wyld Sour Cherry Indica Enhanced Soft Chew contains 5mg of THC combined with the terpenes myrcene, linalool, beta-caryophyllene, and terpineol for a relaxed and euphoric experience. Wyld uses carbon neutral manufacturing to support a healthy planet. Two Soft Chews per pack.",8,0.53,17
7d9f8ff9-644e-4ad8-b5f5-22679d7053e1,Sourz Cherry Lime 5 x 5g Soft Chews,EDIBLES- Soft Chews,SOURZ by Spinach,https://res.cloudinary.com/get-greenline/image/upload/v1649191121/k6x1imuohzyx4hkdmn4k.jpg,6.8,"Blast your senses with a mouth-puckering, sour then sweet sensation of Cherry Lime SOURZ by Spinach. This dual flavoured gummy blasted with sour crystals is over-the-top with only natural flavours and colours. Enjoy 5 pieces/pack and 10mg THC total.",25,2,8
a24cfb10-a84e-4faa-bb0f-06d055d5472c,Sourz Peach Orange 1:1 5 x 5g Soft Chews,EDIBLES- Soft Chews,Spinach,https://res.cloudinary.com/get-greenline/image/upload/v1623784450/l84mmlgb2zrh3gqdxfgi.jpg,6.8,"Smash a juicy peach into a succulent orange, then blast it with sour crystals. That's right. We're talking about a dual flavoured explosion called Peach Orange SOURZ by Spinach. These balanced 1:1 THC and CBD soft chews blasted with sour crystals are over the top with natural flavours and colours. With five big S chews per pack, you and your friends can enjoy more SOURZ by Spinach in one sitting with 10mg THC total and 10mg CBD total per pack.",25,2,12
638cc5ca-44dd-48bd-a17b-b360a29b91be,Sourz Strawberry Kiwi CBD50:THC10 10 x 5g Soft Chews,EDIBLES- Soft Chews,SOURZ by Spinach,https://res.cloudinary.com/get-greenline/image/upload/v1696962973/s3dorpe1kpuwkoknxnu1.jpg,7,"With a sweet splash of strawberry and a tropical burst of kiwi, Strawberry Kiwi 5:1 CBD | THC SOURZ by Spinach gummies will blow your mind and blast your senses with 10 mg CBD and 1 mg THC per piece! This dual-flavoured?soft chew?blasted with sour crystals is over-the-top with natural?flavours.?Enjoy 10 pieces/pack and 50mg CBD total and 10mg THC total.",50,3,12
4109fb86-65bb-41b7-b96c-476987cb9a01,Sourz Strawberry Mango 5 x 5g Soft Chews,EDIBLES- Soft Chews,Spinach,https://res.cloudinary.com/get-greenline/image/upload/v1623784451/hjxfzigjxjbmqyh0bzsw.jpg,6.8,"What happens when you mix luscious strawberry and tropical mango flavours? You get a thundering burst of flavour with Strawberry Mango SOURZ by Spinach. This dual-flavoured soft chew blasted with sour crystals is over the top with only natural flavours and colours. With five big S chews per pack, you and your friends can enjoy more SOURZ by Spinach in one sitting with 10mg THC total per pack.",25,2,12
93bf80e2-fc19-4d6a-abc6-5f1cb08c954b,Sourz Tropical Triple Berry 2:1 5 x 5g Soft Chews,EDIBLES- Soft Chews,SOURZ by Spinach,https://res.cloudinary.com/get-greenline/image/upload/v1664456441/jiwddb9563cc8tdljgek.jpg,6.8,"With the rule of threes, you get more fun, friends and flavour! And trust us when we say we hit all of these with Tropical Triple Berry SOURZ by Spinach! It's a triple tropical trifecta of deliciousness when we combine sweet strawberry and raspberry and refreshing guava! These 2:1 CBD:THC soft chews blasted with sour crystals are over-the-top with natural flavours and colours. With 5 big 'S' soft chews per pack, you and your friends can enjoy more SOURZ by Spinach in one sitting.",25,2,7
5599da80-f101-41f3-b630-6ffe058ab3af,Strawberry Lemonade Glitch 1 x 4.3g Soft Chew,EDIBLES- Soft Chews,Drift,https://res.cloudinary.com/get-greenline/image/upload/v1709223724/vnnri3lrckeq4gmvaeed.jpg,3.49,"Drift Strawberry Lemonade Glitch is a single, high-potency gummy infused with 10 mg of evenly dosed THC and a refreshing blend of zesty lemon and ripe strawberries. Thanks to our state-of-the-art emulsification process, you can enjoy your experience with very minimal, if any, cannabis taste or smell.",4.3,0.3,22
7f33860f-eafd-4b4d-8ce6-3ca43448cf16,Strawberry Lemonade Wana Sour 2 x 4.5g Soft Chews,EDIBLES- Soft Chews,Wana,https://res.cloudinary.com/get-greenline/image/upload/v1623784403/kigitqqmme69ogacsyxn.jpg,6.75,"Strawberry Lemonade 1:1 Wana Sour Gummies combine bright citrus balanced with lush strawberry undertones. Handcrafted with vegan and gluten-free ingredients, each gummie is infused with 5 mg THC, 5 mg CBD, and terpene-enhanced distillate.",9,0.6,17
dfb4a0a3-b2f3-435d-88ff-5da0b2b0a6a1,Strawberry Lime Wana 2 x 4.5g Soft Chews,EDIBLES- Soft Chews,Wana Quick,https://res.cloudinary.com/get-greenline/image/upload/v1623784405/prhbncpoisxrbhda3wlr.jpg,7.5,"Bursting with sweet and citrusy flavour, Wana Quick Strawberry Lime 1:1 fast-acting soft chews are infused with a balanced ratio of CBD and THC distillate. These quick onset and offset chews offer a Delta 9 smoker's experience without the smoke. Terpene-infused, vegan and gluten free.",9,0.6,12
97e895ce-9dbe-479d-a26d-04041eacb446,Strawberry Pineapple Vacay Tropical 3:1 4 x 3.2g Soft Chews,EDIBLES- Soft Chews,Vacay,https://res.cloudinary.com/get-greenline/image/upload/v1680787806/kyus2taj5gfdhriemf6m.jpg,6,"Vacay Strawberry Pineapple Tropical Soft Chews blend delicious fruit flavours with the perfect level of sweetness. Four soft chews, 30 mg of CBD and 10 mg of THC per pack.",12.8,0.9,11
bdc95d91-e787-4806-a79b-57bad9e3d37a,Sweet Dreams Blood Orange THC:CBD:CBN 10 x 3.5g Soft Chews,EDIBLES- Soft Chews,WILDFLOWER,,10.99,"Our Blood Orange Wildflower Sweet Dreams gummies are naturally sweetened with fruit puree, vegan, gluten free with no added sugar, or colours. Each of the 10 gummies has 1 mg of full spectrum Live Rosin, as well as 1 mg of CBD, and 1 mg of CBN. These ingredients combined will be the perfect start to your sweet dreams.",35,2.33,23
d3bed443-7c3f-4c67-8ae0-e1c8a84a918d,Tropical Mix 30 x 3.2g Soft Chews,EDIBLES- Soft Chews,Nowadays,https://res.cloudinary.com/get-greenline/image/upload/v1664456441/zqrrsl8iskvrunurqgmg.jpg,25,"Vegan and made with real fruit, Nowadays CBD soft chews make it easy to enjoy a CBD gummy as you go about your day. Featuring 20mg of high-quality plant-derived CBD in each soft chew and available with three luscious tropical flavours in one pack: Mango, Passionfruit & Golden Pineapple. 30 soft chews per pack. Nowadays offers a thoughtful collection of CBD focused products for everyday living.",96,6,6
54ebc4ed-065e-4c39-b871-4ccb390edb13,Twilight Tranquility 25 x 4.5g Soft Chews,EDIBLES- Soft Chews,Monjour Bare,https://res.cloudinary.com/get-greenline/image/upload/v1664456422/tmyjfzontgwvaokzefsa.jpg,36,"Formulated to pair well with a balanced and calming experience, taken at twilight these CBD+CBN+CBG Soft Chews compliment a restful night. Soothing flavors of pear, plum and lavender blend effortlessly in a delicately sweet midnight-violet soft chew that eases you into your evening routine. 25 soft chews per jar with 20mg of CBD, 5mg of CBN and 5mg of CBG per Soft Chew. Does not contain sugar.",112.5,7.5,1
15991319-4b3b-4135-930b-601e24638170,Wild Raspberry 5:1 CBD/THC Indica 2 x 4.5g Soft Chews,EDIBLES- Soft Chews,Wana,,6.75,"New Long Product Description: Wana is an award-winning cannabis brand that prides itself on consistency, quality, and cannabis-free taste. These gummies are infused with a proprietary blend of over 30 terpenes for an entourage effect. Wana Wild Raspberry 5:1 Indica gummies are bold and juicy with tart undertones and an undeniable summer flavour. Each pack contains 50 mg CBD and 10 mg THC. 2 gummies per package. Vegan and gluten-free.",9,0.6,10
a555db49-035c-4be4-af4a-a4af147e9882,Apple Fritter 3.5g Dried Flower,HYBRID,Back Forty,https://res.cloudinary.com/get-greenline/image/upload/v1673369939/qpukm4y85dxdwec2rc6i.jpg,21.75,"Maximize your chill with Apple Fritter, a powerful Hybrid with high THC, it's perfect for a day trip into the back forty. With a mix of Caryophyllene, lots of Limonene, Humulene, Pinene and Linalool, this is a nice, warm and mellow apple pastry to start your day. Packed in a resealable pouch to maintain freshness you'll want to add this one to your bag of trailside snacks. Take a trip, explore the Back Forty.",3.5,3.5,11
68a113f5-3356-4411-acaa-ff0d2075eb00,Big Pleasures 28g Dried Flower,HYBRID,Pure Laine Cannabis,https://res.cloudinary.com/get-greenline/image/upload/v1680787787/qj4wpyumv0a2oobt1mtf.jpg,100,"Big Pleasures is exactly what it sounds like: A hefty portion of classic, simple, reliable cannabis -- and every lot is something new. Each batch is a different cultivar nurtured in Quebec. It's a comfortable way to 'go big' with your high-potency stash with the latest products from La Belle Province.",28,28,6
4b47ab17-560c-402f-9d2e-b411da9aecaf,Craft Collective Limited Drops 3.5g Dried Flower,HYBRID,7ACRES Craft Collective,,42.5,"Small batch, indoor craft grown by UPRYZE in Acheson, Alberta. Hand trimmed and masterfully cured. Limited Quantities Available.",3.5,3.5,8
